Tanggal,Prov,Provinsi,Running Sum of divaksin3 (ribu),divaksin3 (ribu)
12/22/2021,Jawa Timur,Jawa Timur,215.134,0.619
12/23/2021,Jawa Timur,Jawa Timur,215.807,0.673
12/24/2021,Jawa Timur,Jawa Timur,216.621,0.814
12/25/2021,Jawa Timur,Jawa Timur,216.705,0.084
12/26/2021,Jawa Timur,Jawa Timur,216.778,0.073
12/27/2021,Jawa Timur,Jawa Timur,217.176,0.398
12/28/2021,Jawa Timur,Jawa Timur,217.447,0.271
12/29/2021,Jawa Timur,Jawa Timur,217.8,0.353
12/30/2021,Jawa Timur,Jawa Timur,218.244,0.444
12/31/2021,Jawa Timur,Jawa Timur,218.832,0.588
1/1/2022,Jawa Timur,Jawa Timur,219.023,0.191
1/2/2022,Jawa Timur,Jawa Timur,219.136,0.113
1/3/2022,Jawa Timur,Jawa Timur,219.749,0.613
1/4/2022,Jawa Timur,Jawa Timur,220.238,0.489
1/5/2022,Jawa Timur,Jawa Timur,220.805,0.567
1/6/2022,Jawa Timur,Jawa Timur,221.518,0.713
1/7/2022,Jawa Timur,Jawa Timur,223.033,1.515
1/8/2022,Jawa Timur,Jawa Timur,224.441,1.408
1/9/2022,Jawa Timur,Jawa Timur,224.516,0.075
1/10/2022,Jawa Timur,Jawa Timur,225.891,1.375
1/11/2022,Jawa Timur,Jawa Timur,227.718,1.827
1/12/2022,Jawa Timur,Jawa Timur,236.216,8.498
1/13/2022,Jawa Timur,Jawa Timur,254.147,17.931
1/14/2022,Jawa Timur,Jawa Timur,269.752,15.605
1/15/2022,Jawa Timur,Jawa Timur,280.017,10.265
1/16/2022,Jawa Timur,Jawa Timur,281.998,1.981
1/17/2022,Jawa Timur,Jawa Timur,299.145,17.147
1/18/2022,Jawa Timur,Jawa Timur,325.671,26.526
1/19/2022,Jawa Timur,Jawa Timur,357.846,32.175
1/20/2022,Jawa Timur,Jawa Timur,394.131,36.285
1/21/2022,Jawa Timur,Jawa Timur,425.487,31.356
1/22/2022,Jawa Timur,Jawa Timur,450.816,25.329
1/23/2022,Jawa Timur,Jawa Timur,452.185,1.369
1/24/2022,Jawa Timur,Jawa Timur,486.063,33.878
1/25/2022,Jawa Timur,Jawa Timur,533.978,47.915
1/26/2022,Jawa Timur,Jawa Timur,585.373,51.395
1/27/2022,Jawa Timur,Jawa Timur,642.37,56.997
1/28/2022,Jawa Timur,Jawa Timur,683.025,40.655
1/29/2022,Jawa Timur,Jawa Timur,717.31,34.285
1/30/2022,Jawa Timur,Jawa Timur,719.636,2.326
1/31/2022,Jawa Timur,Jawa Timur,770.485,50.849
2/1/2022,Jawa Timur,Jawa Timur,773.901,3.416
2/2/2022,Jawa Timur,Jawa Timur,820,46.099
2/3/2022,Jawa Timur,Jawa Timur,875.981,55.981
2/4/2022,Jawa Timur,Jawa Timur,926.691,50.71
2/5/2022,Jawa Timur,Jawa Timur,971.069,44.378
2/6/2022,Jawa Timur,Jawa Timur,975.176,4.107
2/7/2022,Jawa Timur,Jawa Timur,1015.205,40.029
2/8/2022,Jawa Timur,Jawa Timur,1057.542,42.337
2/9/2022,Jawa Timur,Jawa Timur,1107.921,50.379
2/10/2022,Jawa Timur,Jawa Timur,1161.776,53.855
2/11/2022,Jawa Timur,Jawa Timur,1203.257,41.481
2/12/2022,Jawa Timur,Jawa Timur,1245.544,42.287
2/13/2022,Jawa Timur,Jawa Timur,1250.71,5.166
2/14/2022,Jawa Timur,Jawa Timur,1283.077,32.367
2/15/2022,Jawa Timur,Jawa Timur,1318.692,35.615
2/16/2022,Jawa Timur,Jawa Timur,1353.687,34.995
2/17/2022,Jawa Timur,Jawa Timur,1387.41,33.723
2/18/2022,Jawa Timur,Jawa Timur,1420.247,32.837
2/19/2022,Jawa Timur,Jawa Timur,1449.362,29.115
2/20/2022,Jawa Timur,Jawa Timur,1454.545,5.183
2/21/2022,Jawa Timur,Jawa Timur,1484.643,30.098
2/22/2022,Jawa Timur,Jawa Timur,1521.286,36.643
2/23/2022,Jawa Timur,Jawa Timur,1563.781,42.495
2/24/2022,Jawa Timur,Jawa Timur,1617.704,53.923
2/25/2022,Jawa Timur,Jawa Timur,1675.599,57.895
2/26/2022,Jawa Timur,Jawa Timur,1748.159,72.56
2/27/2022,Jawa Timur,Jawa Timur,1777.819,29.66
2/28/2022,Jawa Timur,Jawa Timur,1805.655,27.836
3/1/2022,Jawa Timur,Jawa Timur,1831.557,25.902
3/2/2022,Jawa Timur,Jawa Timur,1868.866,37.309
3/3/2022,Jawa Timur,Jawa Timur,1878.894,10.028
3/4/2022,Jawa Timur,Jawa Timur,1917.541,38.647
3/5/2022,Jawa Timur,Jawa Timur,1954.882,37.341
3/6/2022,Jawa Timur,Jawa Timur,1960.568,5.686
3/7/2022,Jawa Timur,Jawa Timur,1993.077,32.509
3/8/2022,Jawa Timur,Jawa Timur,2042.424,49.347
3/9/2022,Jawa Timur,Jawa Timur,2088.753,46.329
3/10/2022,Jawa Timur,Jawa Timur,2136.359,47.606
3/11/2022,Jawa Timur,Jawa Timur,2182.071,45.712
3/12/2022,Jawa Timur,Jawa Timur,2235.977,53.906
3/13/2022,Jawa Timur,Jawa Timur,2246.4,10.423
3/14/2022,Jawa Timur,Jawa Timur,2288.809,42.409
3/15/2022,Jawa Timur,Jawa Timur,2335.14,46.331
3/16/2022,Jawa Timur,Jawa Timur,2384.897,49.757
3/17/2022,Jawa Timur,Jawa Timur,2440.208,55.311
3/18/2022,Jawa Timur,Jawa Timur,2472.737,32.529
3/19/2022,Jawa Timur,Jawa Timur,2502.246,29.509
3/20/2022,Jawa Timur,Jawa Timur,2509.623,7.377
3/21/2022,Jawa Timur,Jawa Timur,2542.782,33.159
3/22/2022,Jawa Timur,Jawa Timur,2582.982,40.2
3/23/2022,Jawa Timur,Jawa Timur,2627.58,44.598
3/24/2022,Jawa Timur,Jawa Timur,2695.041,67.461
3/25/2022,Jawa Timur,Jawa Timur,2764.66,69.619
3/26/2022,Jawa Timur,Jawa Timur,2836.629,71.969
3/27/2022,Jawa Timur,Jawa Timur,2847.437,10.808
3/28/2022,Jawa Timur,Jawa Timur,2934.997,87.56
3/29/2022,Jawa Timur,Jawa Timur,3044.023,109.026
3/30/2022,Jawa Timur,Jawa Timur,3144,99.977000000
3/31/2022,Jawa Timur,Jawa Timur,3268.887,124.887
4/1/2022,Jawa Timur,Jawa Timur,3348.278,79.391000000
4/2/2022,Jawa Timur,Jawa Timur,3395.77,47.492
4/3/2022,Jawa Timur,Jawa Timur,3402.43,6.66
4/4/2022,Jawa Timur,Jawa Timur,3428.735,26.305
4/5/2022,Jawa Timur,Jawa Timur,3466.598,37.863
